4.990371385256837655e-01 9.242809851758848616e-02 1.506050806073820914e-01 4.197756362436164679e-01 5.361234705197964745e-01 2.317487779064745235e-01 1.189786266638415135e-01 9.044653531874787822e-01 3.135174939312886933e-01 3.669819763442346838e-01
3.701467072923744217e-01 9.106337884033413044e-01 7.899220678643557036e-01 8.810422728008520110e-01 1.384976100008262767e-01 5.831361733420666882e-01 4.878052570749351613e-01 8.703504599605215164e-01 3.433909431727489858e-01 3.820560292898599331e-01
4.913368068272920830e-01 9.602930487737045828e-01 4.453299596243373015e-01 5.937676051349416451e-01 9.538288643204592132e-01 7.461510690500005039e-01 8.588065546913085102e-01 6.112311458624587468e-01 6.116384871982959437e-01 1.045937534499036259e-01
2.058324691957064134e-01 5.099008723532086895e-01 5.195535708140653908e-01 1.533705961666940176e-01 9.125447387042288083e-01 3.380186809402250248e-01 8.080280316914209005e-01 5.339414551838357337e-01 2.831020704260487353e-01 1.079255377000332139e-02
2.948767797830875725e-02 3.277634074504777173e-01 8.087889283010677444e-01 7.724886361900618059e-01 9.501894306180690419e-01 1.137596932833493391e-01 8.343110461264731104e-01 8.615060121392413839e-01 5.295748578287680086e-01 8.938553960031246914e-01
4.127188445144760465e-01 5.959695530127938623e-01 8.021155461999164293e-01 2.524414436655737504e-01 8.970366256879479527e-01 4.944351847798535982e-01 4.016567090861836720e-01 6.319201165287003930e-01 3.982838345516123146e-01 5.074939081810557751e-01
4.804671069668164929e-01 7.969208358169285189e-01 3.976011005341552051e-01 6.745099827573874940e-01 6.913514776461728850e-01 9.558408639380612248e-01 1.340379166757927898e-01 3.087223183471909937e-01 9.530000151423340116e-01 8.952135556372139424e-01
1.155697642517170554e-01 8.683600151475835416e-01 6.676505305556190706e-01 7.694666371650147330e-01 1.905116888870094227e-01 6.038487940150856215e-01 2.313071723325632600e-02 8.500061597195388563e-01 8.224277098871555225e-01 7.293098878577222166e-01
3.574716836429816524e-01 7.367177859297616704e-01 7.330738210479901262e-01 1.343186004115508592e-01 5.151097966281952267e-01 3.202589780729596658e-01 1.260401717786125975e-01 7.887706845594183447e-01 3.062976195670413793e-01 6.100512805513710335e-01
5.684941072943467955e-01 3.895133401893083880e-01 1.082240068306119518e-01 7.321615726361268006e-01 5.933788901448090458e-01 9.028155303974272350e-02 6.782831177978398962e-01 7.989840260016767282e-02 3.361456499395112374e-01 2.948647225281197937e-02
